Time_PK	Date	AnneeCode	Année	SemestreCode	Semestre	TrimestreCode	Trimestre	MoisCode	Mois	SemaineCode	Semaine
19500101	01/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500102	02/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500103	03/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500104	04/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500105	05/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500106	06/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500107	07/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500101	Semaine 1
19500108	08/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500109	09/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500110	10/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500111	11/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500112	12/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500113	13/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500114	14/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500108	Semaine 2
19500115	15/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500116	16/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500117	17/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500118	18/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500119	19/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500120	20/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500121	21/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500115	Semaine 3
19500122	22/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500123	23/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500124	24/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500125	25/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500126	26/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500127	27/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500128	28/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500122	Semaine 4
19500129	29/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500129	Semaine 5
19500130	30/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500129	Semaine 5
19500131	31/01/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500101	Janvier	19500129	Semaine 5
19500201	01/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500129	Semaine 5
19500202	02/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500129	Semaine 5
19500203	03/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500129	Semaine 5
19500204	04/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500129	Semaine 5
19500205	05/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500206	06/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500207	07/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500208	08/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500209	09/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500210	10/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500211	11/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500205	Semaine 6
19500212	12/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
19500213	13/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
19500214	14/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
19500215	15/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
