id_location;id_categorie_film;id_client;id_langue_film;montant;date_location;date_retour;date_paiement;id_acteur_principal
16195;15;344;1;2.99;20220526;20220526;20220131;51
16056;15;270;1;1.99;20220526;20220530;20220203;143
16075;1;278;1;4.99;20220531;20220603;20220214;92
16077;8;279;1;0.99;20220531;20220603;20220209;3
16078;16;280;1;4.99;20220531;20220601;20220206;94
16103;1;294;1;1.99;20220528;20220605;20220202;51
16107;15;296;1;4.99;20220530;20220603;20220207;185
16122;13;303;1;0.99;20220526;20220601;20220220;54
16129;14;306;1;3.99;20220527;20220604;20220211;26
16130;3;306;1;6.99;20220528;20220606;20220209;128
16131;9;307;1;4.99;20220527;20220603;20220227;45
16133;8;307;1;1.99;20220528;20220604;20220223;48
16154;5;315;1;8.99;20220528;20220605;20220221;108
16164;11;321;1;4.99;20220526;20220531;20220214;133
16167;1;322;1;0.99;20220526;20220531;20220220;78
16173;14;325;1;5.99;20220525;20220530;20220208;167
16180;12;330;1;7.99;20220530;20220608;20220209;27
16184;5;332;1;6.99;20220530;20220608;20220201;2
16189;9;337;1;4.99;20220528;20220602;20220223;159
16196;13;344;1;5.99;20220529;20220605;20220202;177
16197;14;345;1;0.99;20220526;20220527;20220214;195
16213;1;356;1;4.99;20220531;20220606;20220215;104
16225;10;362;1;4.99;20220531;20220602;20220202;23
16244;5;371;1;5.99;20220527;20220602;20220228;11
16246;14;371;1;2.99;20220529;20220606;20220227;180
16053;4;269;1;0.99;20220529;20220603;20220302;41
16058;15;271;1;8.99;20220531;20220609;20220319;195
16059;14;272;1;0.99;20220525;20220527;20220312;89
16060;4;272;1;6.99;20220527;20220605;20220318;113
16063;5;273;1;3.99;20220525;20220602;20220314;100
16080;2;281;1;2.99;20220529;20220604;20220302;69
16081;10;282;1;1.99;20220525;20220602;20220313;88
16089;14;287;1;2.99;20220528;20220531;20220310;100
16100;10;293;1;0.99;20220527;20220530;20220301;195
16112;11;299;1;5.99;20220527;20220603;20220321;38
16119;4;301;1;0.99;20220530;20220531;20220322;134
16120;8;302;1;4.99;20220525;20220531;20220327;10
16124;5;303;1;4.99;20220531;20220603;20220311;7
16140;6;311;1;6.99;20220528;20220606;20220305;90
16143;1;311;1;6.99;20220531;20220605;20220323;132
16158;12;316;1;1.99;20220531;20220608;20220307;44
16165;9;321;1;5.99;20220528;20220604;20220312;87
16166;14;321;1;4.99;20220529;20220602;20220322;50
16170;7;323;1;2.99;20220529;20220604;20220310;162
16174;11;326;1;6.99;20220530;20220605;20220329;5
16176;2;326;1;3.99;20220531;20220608;20220323;164
16200;10;346;1;4.99;20220529;20220604;20220324;58
16201;2;348;1;0.99;20220525;20220527;20220318;139
16204;12;350;1;4.99;20220525;20220527;20220306;161
16211;6;354;1;0.99;20220527;20220530;20220320;147
16219;6;359;1;2.99;20220527;20220601;20220306;158
16230;16;366;1;6.99;20220530;20220607;20220317;200
16231;9;367;1;0.99;20220530;20220601;20220314;12
16235;2;368;1;2.99;20220529;20220531;20220317;22
16066;7;274;1;4.99;20220526;20220527;20220415;163
16069;15;274;1;2.99;20220527;20220531;20220427;41
16074;15;277;1;6.99;20220526;20220604;20220404;118
16091;4;288;1;3.99;20220525;20220603;20220426;89
16092;7;288;1;6.99;20220527;20220605;20220405;79
16097;16;291;1;4.99;20220529;20220605;20220405;44
16105;7;296;1;4.99;20220526;20220527;20220421;142
16106;1;296;1;5.99;20220528;20220603;20220418;16
16110;8;297;1;3.99;20220530;20220608;20220423;66
16111;8;298;1;3.99;20220527;20220603;20220411;27
16115;1;300;1;3.99;20220529;20220606;20220415;93
16118;3;301;1;5.99;20220526;20220530;20220417;156
16123;3;303;1;2.99;20220530;20220604;20220423;128
16127;14;304;1;2.99;20220530;20220605;20220406;113
16136;16;309;1;6.99;20220526;20220604;20220428;4
16139;6;311;1;5.99;20220526;20220603;20220428;22
16141;7;311;1;2.99;20220530;20220602;20220429;184
16148;11;313;1;4.99;20220528;20220603;20220425;149
16155;13;315;1;4.99;20220528;20220602;20220421;51
16156;12;316;1;4.99;20220524;20220526;20220430;139
16162;5;319;1;3.99;20220525;20220602;20220416;140
16169;6;323;1;4.99;20220525;20220528;20220413;117
16171;3;323;1;5.99;20220530;20220607;20220419;80
16175;9;326;1;4.99;20220530;20220601;20220403;72
16183;3;332;1;3.99;20220528;20220603;20220423;40
16185;11;333;1;4.99;20220524;20220603;20220412;51
16192;15;339;1;5.99;20220530;20220607;20220422;93
16198;5;345;1;0.99;20220527;20220528;20220414;17
16199;6;346;1;4.99;20220525;20220529;20220421;9
16205;7;350;1;4.99;20220529;20220531;20220413;188
16208;2;353;1;6.99;20220531;20220609;20220425;183
16218;13;359;1;8.99;20220526;20220604;20220412;102
16222;9;360;1;4.99;20220529;20220603;20220416;20
16226;12;363;1;3.99;20220529;20220605;20220425;63
16228;11;365;1;5.99;20220525;20220601;20220423;98
16232;4;367;1;2.99;20220531;20220602;20220429;190
16241;2;371;1;3.99;20220525;20220530;20220409;3
16243;8;371;1;4.99;20220527;20220531;20220410;198
16245;13;371;1;0.99;20220529;20220604;20220401;25
16055;1;269;1;2.99;20220531;20220605;20220520;103
16057;14;270;1;4.99;20220531;20220609;20220511;141
16067;5;274;1;2.99;20220526;20220601;20220511;102
16068;6;274;1;5.99;20220527;20220603;20220504;194
16070;16;274;1;4.99;20220530;20220605;20220515;25
16079;7;281;1;2.99;20220528;20220529;20220521;65
16083;2;282;1;0.99;20220528;20220529;20220514;169
16084;10;284;1;0.99;20220527;20220602;20220528;159
16085;4;284;1;0.99;20220529;20220601;20220515;61
16086;13;284;1;6.99;20220531;20220608;20220522;171
16093;1;288;1;4.99;20220528;20220528;20220506;85
16096;4;291;1;4.99;20220525;20220601;20220526;59
16099;9;292;1;0.99;20220527;20220530;20220526;41
16101;14;293;1;4.99;20220530;20220604;20220520;132
16125;1;304;1;10.99;20220525;20220603;20220503;25
16128;9;305;1;2.99;20220525;20220527;20220529;92
16135;13;308;1;3.99;20220528;20220603;20220511;119
16147;3;312;1;6.99;20220531;20220608;20220522;186
16150;2;313;1;0.99;20220529;20220530;20220504;153
16151;8;313;1;0.99;20220529;20220530;20220518;117
16152;16;314;1;5.99;20220525;20220531;20220513;59
16153;6;314;1;4.99;20220527;20220529;20220521;76
16159;8;317;1;6.99;20220525;20220603;20220514;28
16161;6;319;1;9.99;20220524;20220603;20220512;75
16163;2;319;1;2.99;20220527;20220602;20220502;181
